Punktnummer,Ost,Nord,Höhe,Hz-Winkel,V-Winkel,Schrägdistanz,Horizontaldistanz,Code & Punkt Info,Zeitstempel
3_TS091413225062,2601405.6291,1144078.3758,1113.6340,111.2088 g,84.4483 g,140.2842,136.1186,,14.09.2022 13:22:51
3_TS091413225048,2601405.6258,1144078.3764,1113.6331,111.2088 g,84.4483 g,140.2807,136.1152,,14.09.2022 13:22:50
3_TS091413224915,2601405.6195,1144078.3776,1113.6315,111.2087 g,84.4483 g,140.2741,136.1088,,14.09.2022 13:22:49
3_TS091413224837,2601405.6157,1144078.3783,1113.6307,111.2087 g,84.4483 g,140.2702,136.1050,,14.09.2022 13:22:48
3_TS091413224770,2601405.6102,1144078.3792,1113.6292,111.2088 g,84.4483 g,140.2644,136.0994,,14.09.2022 13:22:48
3_TS091413224692,2601405.6136,1144078.3786,1113.6302,111.2088 g,84.4482 g,140.2680,136.1028,,14.09.2022 13:22:47
3_TS091413224631,2601405.6250,1144078.3766,1113.6329,111.2087 g,84.4483 g,140.2799,136.1144,,14.09.2022 13:22:46
3_TS091413224549,2601405.6275,1144078.3761,1113.6336,111.2088 g,84.4483 g,140.2825,136.1169,,14.09.2022 13:22:45
3_TS091413224424,2601405.6222,1144078.3771,1113.6322,111.2087 g,84.4483 g,140.2770,136.1116,,14.09.2022 13:22:44
3_TS091413224354,2601405.6242,1144078.3767,1113.6329,111.2087 g,84.4482 g,140.2791,136.1136,,14.09.2022 13:22:44
3_TS091413224275,2601405.6163,1144078.3781,1113.6308,111.2088 g,84.4483 g,140.2708,136.1056,,14.09.2022 13:22:43
3_TS091413224204,2601405.6182,1144078.3778,1113.6313,111.2088 g,84.4482 g,140.2728,136.1075,,14.09.2022 13:22:42
3_TS091413224139,2601405.6109,1144078.3791,1113.6294,111.2088 g,84.4483 g,140.2651,136.1000,,14.09.2022 13:22:41
3_TS091413224051,2601405.6199,1144078.3775,1113.6318,111.2088 g,84.4482 g,140.2746,136.1092,,14.09.2022 13:22:41
3_TS091413223968,2601405.6195,1144078.3776,1113.6315,111.2088 g,84.4483 g,140.2741,136.1088,,14.09.2022 13:22:40
3_TS091413223890,2601405.6296,1144078.3757,1113.6341,111.2088 g,84.4483 g,140.2847,136.1191,,14.09.2022 13:22:39
3_TS091413223809,2601405.6195,1144078.3776,1113.6315,111.2087 g,84.4483 g,140.2741,136.1088,,14.09.2022 13:22:38
3_TS091413223742,2601405.6136,1144078.3786,1113.6299,111.2087 g,84.4484 g,140.2679,136.1028,,14.09.2022 13:22:37
3_TS091413223664,2601405.6091,1144078.3794,1113.6288,111.2087 g,84.4484 g,140.2632,136.0982,,14.09.2022 13:22:37
3_TS091413223589,2601405.6019,1144078.3807,1113.6270,111.2088 g,84.4483 g,140.2557,136.0909,,14.09.2022 13:22:36
3_TS091413223515,2601405.6068,1144078.3798,1113.6282,111.2087 g,84.4484 g,140.2608,136.0959,,14.09.2022 13:22:35
