Punktnummer,Ost,Nord,Höhe,Hz-Winkel,V-Winkel,Schrägdistanz,Horizontaldistanz,Code & Punkt Info,Zeitstempel
3_TS091412121838,2601405.6431,1144078.3714,1113.6380,111.2096 g,84.4481 g,140.2993,136.1331,,14.09.2022 12:12:18
3_TS091412121757,2601405.6386,1144078.3723,1113.6369,111.2096 g,84.4481 g,140.2946,136.1286,,14.09.2022 12:12:18
3_TS091412121645,2601405.6399,1144078.3720,1113.6371,111.2097 g,84.4482 g,140.2959,136.1298,,14.09.2022 12:12:16
3_TS091412121572,2601405.6437,1144078.3713,1113.6381,111.2096 g,84.4481 g,140.2999,136.1337,,14.09.2022 12:12:16
3_TS091412121495,2601405.6457,1144078.3709,1113.6385,111.2097 g,84.4482 g,140.3020,136.1358,,14.09.2022 12:12:15
3_TS091412121426,2601405.6476,1144078.3706,1113.6391,111.2096 g,84.4482 g,140.3040,136.1377,,14.09.2022 12:12:14
3_TS091412121275,2601405.6449,1144078.3711,1113.6382,111.2097 g,84.4482 g,140.3011,136.1349,,14.09.2022 12:12:13
3_TS091412121208,2601405.6457,1144078.3710,1113.6385,111.2096 g,84.4482 g,140.3020,136.1358,,14.09.2022 12:12:12
3_TS091412121129,2601405.6415,1144078.3717,1113.6376,111.2097 g,84.4481 g,140.2976,136.1315,,14.09.2022 12:12:11
3_TS091412121057,2601405.6451,1144078.3711,1113.6385,111.2096 g,84.4481 g,140.3014,136.1352,,14.09.2022 12:12:11
3_TS091412120970,2601405.6463,1144078.3709,1113.6386,111.2096 g,84.4482 g,140.3026,136.1364,,14.09.2022 12:12:10
3_TS091412120895,2601405.6466,1144078.3708,1113.6387,111.2096 g,84.4482 g,140.3029,136.1366,,14.09.2022 12:12:09
3_TS091412120813,2601405.6522,1144078.3698,1113.6401,111.2096 g,84.4482 g,140.3087,136.1423,,14.09.2022 12:12:08
3_TS091412120737,2601405.6494,1144078.3703,1113.6394,111.2096 g,84.4482 g,140.3058,136.1395,,14.09.2022 12:12:07
3_TS091412120669,2601405.6460,1144078.3709,1113.6384,111.2096 g,84.4483 g,140.3022,136.1360,,14.09.2022 12:12:07
3_TS091412120596,2601405.6428,1144078.3715,1113.6376,111.2096 g,84.4483 g,140.2989,136.1328,,14.09.2022 12:12:06
3_TS091412120519,2601405.6394,1144078.3722,1113.6367,111.2096 g,84.4483 g,140.2953,136.1293,,14.09.2022 12:12:05
3_TS091412120403,2601405.6472,1144078.3707,1113.6388,111.2096 g,84.4482 g,140.3035,136.1373,,14.09.2022 12:12:04
3_TS091412120325,2601405.6433,1144078.3714,1113.6378,111.2097 g,84.4482 g,140.2994,136.1333,,14.09.2022 12:12:03
3_TS091412120257,2601405.6451,1144078.3711,1113.6381,111.2096 g,84.4483 g,140.3013,136.1351,,14.09.2022 12:12:03
3_TS091412120173,2601405.6457,1144078.3710,1113.6381,111.2096 g,84.4484 g,140.3019,136.1358,,14.09.2022 12:12:02
3_TS091412120104,2601405.6406,1144078.3720,1113.6367,111.2096 g,84.4484 g,140.2965,136.1306,,14.09.2022 12:12:01
3_TS091412120024,2601405.6373,1144078.3727,1113.6360,111.2096 g,84.4483 g,140.2930,136.1271,,14.09.2022 12:12:00
3_TS091412115949,2601405.6369,1144078.3727,1113.6359,111.2096 g,84.4483 g,140.2926,136.1267,,14.09.2022 12:11:59
3_TS091412115875,2601405.6411,1144078.3720,1113.6367,111.2095 g,84.4485 g,140.2970,136.1311,,14.09.2022 12:11:59
3_TS091412115814,2601405.6430,1144078.3715,1113.6372,111.2096 g,84.4485 g,140.2990,136.1330,,14.09.2022 12:11:58
3_TS091412115653,2601405.6512,1144078.3699,1113.6399,111.2097 g,84.4482 g,140.3077,136.1413,,14.09.2022 12:11:57
3_TS091412115573,2601405.6434,1144078.3714,1113.6379,111.2096 g,84.4482 g,140.2995,136.1334,,14.09.2022 12:11:56
3_TS091412115492,2601405.6400,1144078.3719,1113.6369,111.2097 g,84.4482 g,140.2960,136.1300,,14.09.2022 12:11:55
3_TS091412115416,2601405.6376,1144078.3724,1113.6362,111.2097 g,84.4483 g,140.2934,136.1275,,14.09.2022 12:11:54
3_TS091412115348,2601405.6398,1144078.3719,1113.6368,111.2097 g,84.4483 g,140.2958,136.1298,,14.09.2022 12:11:53
3_TS091412115266,2601405.6428,1144078.3715,1113.6375,111.2097 g,84.4483 g,140.2989,136.1328,,14.09.2022 12:11:53
3_TS091412115148,2601405.6473,1144078.3708,1113.6382,111.2096 g,84.4485 g,140.3034,136.1373,,14.09.2022 12:11:51
3_TS091412115077,2601405.6483,1144078.3705,1113.6384,111.2096 g,84.4485 g,140.3045,136.1384,,14.09.2022 12:11:51
3_TS091412114997,2601405.6419,1144078.3716,1113.6371,111.2097 g,84.4484 g,140.2979,136.1319,,14.09.2022 12:11:50
3_TS091412114928,2601405.6453,1144078.3711,1113.6379,111.2096 g,84.4484 g,140.3014,136.1353,,14.09.2022 12:11:49
3_TS091412114853,2601405.6390,1144078.3723,1113.6364,111.2096 g,84.4483 g,140.2948,136.1289,,14.09.2022 12:11:49
3_TS091412114774,2601405.6420,1144078.3718,1113.6370,111.2095 g,84.4485 g,140.2979,136.1319,,14.09.2022 12:11:48
3_TS091412114706,2601405.6409,1144078.3720,1113.6369,111.2096 g,84.4484 g,140.2968,136.1308,,14.09.2022 12:11:47
3_TS091412114616,2601405.6473,1144078.3709,1113.6386,111.2096 g,84.4483 g,140.3035,136.1373,,14.09.2022 12:11:46
3_TS091412114539,2601405.6510,1144078.3703,1113.6395,111.2095 g,84.4483 g,140.3074,136.1411,,14.09.2022 12:11:45
3_TS091412114457,2601405.6483,1144078.3707,1113.6386,111.2096 g,84.4484 g,140.3045,136.1383,,14.09.2022 12:11:45
3_TS091412114375,2601405.6442,1144078.3714,1113.6375,111.2096 g,84.4484 g,140.3002,136.1342,,14.09.2022 12:11:44
3_TS091412114294,2601405.6421,1144078.3717,1113.6372,111.2096 g,84.4484 g,140.2981,136.1321,,14.09.2022 12:11:43
3_TS091412114232,2601405.6384,1144078.3723,1113.6365,111.2096 g,84.4482 g,140.2943,136.1283,,14.09.2022 12:11:42
3_TS091412114196,2601405.6418,1144078.3716,1113.6375,111.2097 g,84.4482 g,140.2979,136.1318,,14.09.2022 12:11:42
3_TS091412114073,2601405.6392,1144078.3721,1113.6368,111.2097 g,84.4482 g,140.2952,136.1292,,14.09.2022 12:11:41
3_TS091412114011,2601405.6466,1144078.3708,1113.6386,111.2097 g,84.4482 g,140.3029,136.1367,,14.09.2022 12:11:40
3_TS091412113894,2601405.6471,1144078.3706,1113.6386,111.2097 g,84.4483 g,140.3034,136.1372,,14.09.2022 12:11:39
3_TS091412113807,2601405.6433,1144078.3713,1113.6375,111.2097 g,84.4484 g,140.2994,136.1333,,14.09.2022 12:11:38
3_TS091412113739,2601405.6397,1144078.3720,1113.6366,111.2096 g,84.4484 g,140.2956,136.1297,,14.09.2022 12:11:37
3_TS091412113660,2601405.6322,1144078.3735,1113.6347,111.2096 g,84.4484 g,140.2877,136.1220,,14.09.2022 12:11:37
3_TS091412113574,2601405.6378,1144078.3725,1113.6360,111.2096 g,84.4484 g,140.2936,136.1277,,14.09.2022 12:11:36
3_TS091412113488,2601405.6402,1144078.3721,1113.6365,111.2096 g,84.4484 g,140.2960,136.1301,,14.09.2022 12:11:35
3_TS091412113404,2601405.6460,1144078.3711,1113.6381,111.2095 g,84.4484 g,140.3021,136.1360,,14.09.2022 12:11:34
3_TS091412113337,2601405.6460,1144078.3711,1113.6378,111.2095 g,84.4485 g,140.3021,136.1360,,14.09.2022 12:11:33
3_TS091412113255,2601405.6450,1144078.3713,1113.6378,111.2095 g,84.4484 g,140.3011,136.1350,,14.09.2022 12:11:33
3_TS091412113172,2601405.6379,1144078.3725,1113.6362,111.2096 g,84.4484 g,140.2937,136.1278,,14.09.2022 12:11:32
3_TS091412113091,2601405.6346,1144078.3730,1113.6354,111.2096 g,84.4483 g,140.2903,136.1245,,14.09.2022 12:11:31
3_TS091412113012,2601405.6363,1144078.3727,1113.6360,111.2096 g,84.4482 g,140.2921,136.1262,,14.09.2022 12:11:30
3_TS091412112948,2601405.6385,1144078.3722,1113.6366,111.2096 g,84.4482 g,140.2944,136.1284,,14.09.2022 12:11:29
3_TS091412112861,2601405.6452,1144078.3710,1113.6382,111.2097 g,84.4482 g,140.3014,136.1352,,14.09.2022 12:11:29
3_TS091412112782,2601405.6457,1144078.3709,1113.6383,111.2097 g,84.4483 g,140.3019,136.1357,,14.09.2022 12:11:28
3_TS091412112714,2601405.6406,1144078.3718,1113.6371,111.2097 g,84.4482 g,140.2966,136.1306,,14.09.2022 12:11:27
3_TS091412112602,2601405.6401,1144078.3719,1113.6368,111.2097 g,84.4483 g,140.2960,136.1300,,14.09.2022 12:11:26
3_TS091412112589,2601405.6361,1144078.3726,1113.6358,111.2097 g,84.4483 g,140.2919,136.1260,,14.09.2022 12:11:26
3_TS091412112428,2601405.6403,1144078.3718,1113.6370,111.2097 g,84.4483 g,140.2963,136.1303,,14.09.2022 12:11:24
3_TS091412112346,2601405.6407,1144078.3717,1113.6369,111.2097 g,84.4484 g,140.2967,136.1307,,14.09.2022 12:11:23
3_TS091412112269,2601405.6425,1144078.3715,1113.6371,111.2097 g,84.4485 g,140.2985,136.1325,,14.09.2022 12:11:23
3_TS091412112186,2601405.6450,1144078.3712,1113.6376,111.2096 g,84.4485 g,140.3010,136.1350,,14.09.2022 12:11:22
3_TS091412112106,2601405.6391,1144078.3722,1113.6364,111.2096 g,84.4484 g,140.2949,136.1290,,14.09.2022 12:11:21
3_TS091412112029,2601405.6363,1144078.3728,1113.6355,111.2096 g,84.4484 g,140.2919,136.1261,,14.09.2022 12:11:20
3_TS091412111951,2601405.6380,1144078.3726,1113.6360,111.2095 g,84.4484 g,140.2937,136.1278,,14.09.2022 12:11:20
3_TS091412111870,2601405.6374,1144078.3727,1113.6360,111.2095 g,84.4484 g,140.2931,136.1272,,14.09.2022 12:11:19
3_TS091412111793,2601405.6388,1144078.3724,1113.6363,111.2095 g,84.4484 g,140.2946,136.1287,,14.09.2022 12:11:18
3_TS091412111716,2601405.6418,1144078.3719,1113.6374,111.2095 g,84.4482 g,140.2978,136.1317,,14.09.2022 12:11:17
3_TS091412111643,2601405.6420,1144078.3717,1113.6374,111.2096 g,84.4483 g,140.2980,136.1319,,14.09.2022 12:11:16
3_TS091412111564,2601405.6460,1144078.3710,1113.6388,111.2096 g,84.4481 g,140.3023,136.1360,,14.09.2022 12:11:16
3_TS091412111486,2601405.6433,1144078.3714,1113.6382,111.2096 g,84.4481 g,140.2995,136.1333,,14.09.2022 12:11:15
3_TS091412111413,2601405.6391,1144078.3721,1113.6370,111.2096 g,84.4481 g,140.2951,136.1290,,14.09.2022 12:11:14
3_TS091412111293,2601405.6401,1144078.3720,1113.6373,111.2096 g,84.4481 g,140.2962,136.1301,,14.09.2022 12:11:13
3_TS091412111217,2601405.6452,1144078.3711,1113.6383,111.2096 g,84.4482 g,140.3014,136.1352,,14.09.2022 12:11:12
3_TS091412111143,2601405.6402,1144078.3720,1113.6367,111.2096 g,84.4484 g,140.2961,136.1301,,14.09.2022 12:11:11
3_TS091412111070,2601405.6526,1144078.3697,1113.6403,111.2097 g,84.4482 g,140.3092,136.1427,,14.09.2022 12:11:11
3_TS091412110989,2601405.6477,1144078.3705,1113.6392,111.2097 g,84.4481 g,140.3041,136.1378,,14.09.2022 12:11:10
3_TS091412110976,2601405.6477,1144078.3705,1113.6391,111.2097 g,84.4481 g,140.3041,136.1378,,14.09.2022 12:11:10
3_TS091412110834,2601405.6427,1144078.3714,1113.6379,111.2097 g,84.4481 g,140.2989,136.1327,,14.09.2022 12:11:08
3_TS091412110748,2601405.6367,1144078.3724,1113.6364,111.2097 g,84.4481 g,140.2926,136.1266,,14.09.2022 12:11:07
3_TS091412110666,2601405.6392,1144078.3719,1113.6371,111.2097 g,84.4481 g,140.2952,136.1291,,14.09.2022 12:11:07
3_TS091412110584,2601405.6423,1144078.3714,1113.6379,111.2097 g,84.4481 g,140.2985,136.1323,,14.09.2022 12:11:06
3_TS091412110516,2601405.6457,1144078.3708,1113.6387,111.2097 g,84.4481 g,140.3020,136.1357,,14.09.2022 12:11:05
3_TS091412110435,2601405.6464,1144078.3707,1113.6388,111.2097 g,84.4481 g,140.3027,136.1364,,14.09.2022 12:11:04
3_TS091412110355,2601405.6443,1144078.3711,1113.6381,111.2097 g,84.4482 g,140.3005,136.1343,,14.09.2022 12:11:04
3_TS091412110278,2601405.6421,1144078.3715,1113.6375,111.2097 g,84.4482 g,140.2982,136.1321,,14.09.2022 12:11:03
3_TS091412110207,2601405.6397,1144078.3720,1113.6371,111.2097 g,84.4482 g,140.2957,136.1296,,14.09.2022 12:11:02
3_TS091412110123,2601405.6387,1144078.3721,1113.6369,111.2097 g,84.4481 g,140.2947,136.1287,,14.09.2022 12:11:01
3_TS091412110004,2601405.6453,1144078.3710,1113.6385,111.2097 g,84.4481 g,140.3016,136.1354,,14.09.2022 12:11:00
3_TS091412105915,2601405.6444,1144078.3711,1113.6383,111.2097 g,84.4481 g,140.3007,136.1345,,14.09.2022 12:10:59
3_TS091412105837,2601405.6474,1144078.3705,1113.6390,111.2097 g,84.4481 g,140.3038,136.1375,,14.09.2022 12:10:58
3_TS091412105754,2601405.6447,1144078.3710,1113.6383,111.2097 g,84.4482 g,140.3009,136.1347,,14.09.2022 12:10:58
3_TS091412105686,2601405.6476,1144078.3705,1113.6391,111.2097 g,84.4481 g,140.3040,136.1377,,14.09.2022 12:10:57
3_TS091412105607,2601405.6404,1144078.3717,1113.6373,111.2097 g,84.4481 g,140.2965,136.1304,,14.09.2022 12:10:56
3_TS091412105529,2601405.6401,1144078.3718,1113.6373,111.2097 g,84.4481 g,140.2962,136.1301,,14.09.2022 12:10:55
3_TS091412105464,2601405.6456,1144078.3708,1113.6388,111.2097 g,84.4481 g,140.3020,136.1357,,14.09.2022 12:10:55
3_TS091412105377,2601405.6424,1144078.3714,1113.6377,111.2097 g,84.4482 g,140.2986,136.1325,,14.09.2022 12:10:54
3_TS091412105346,2601405.6447,1144078.3710,1113.6382,111.2097 g,84.4482 g,140.3009,136.1347,,14.09.2022 12:10:53
3_TS091412105334,2601405.6442,1144078.3711,1113.6381,111.2097 g,84.4482 g,140.3004,136.1342,,14.09.2022 12:10:53
3_TS091412105153,2601405.6458,1144078.3708,1113.6384,111.2097 g,84.4482 g,140.3021,136.1359,,14.09.2022 12:10:52
3_TS091412105073,2601405.6409,1144078.3717,1113.6374,111.2097 g,84.4481 g,140.2970,136.1309,,14.09.2022 12:10:51
3_TS091412105004,2601405.6378,1144078.3723,1113.6365,111.2097 g,84.4482 g,140.2937,136.1277,,14.09.2022 12:10:50
3_TS091412104937,2601405.6381,1144078.3723,1113.6368,111.2096 g,84.4481 g,140.2940,136.1280,,14.09.2022 12:10:49
3_TS091412104856,2601405.6353,1144078.3728,1113.6360,111.2097 g,84.4481 g,140.2911,136.1252,,14.09.2022 12:10:49
3_TS091412104738,2601405.6507,1144078.3699,1113.6398,111.2097 g,84.4482 g,140.3072,136.1408,,14.09.2022 12:10:47
3_TS091412104664,2601405.6473,1144078.3705,1113.6391,111.2097 g,84.4481 g,140.3037,136.1374,,14.09.2022 12:10:47
3_TS091412104581,2601405.6443,1144078.3711,1113.6380,111.2097 g,84.4482 g,140.3005,136.1343,,14.09.2022 12:10:46
3_TS091412104514,2601405.6421,1144078.3712,1113.6377,111.2098 g,84.4482 g,140.2983,136.1322,,14.09.2022 12:10:45
3_TS091412104434,2601405.6379,1144078.3721,1113.6364,111.2098 g,84.4483 g,140.2938,136.1279,,14.09.2022 12:10:44
3_TS091412104357,2601405.6365,1144078.3725,1113.6362,111.2097 g,84.4482 g,140.2924,136.1265,,14.09.2022 12:10:44
3_TS091412104280,2601405.6400,1144078.3719,1113.6371,111.2097 g,84.4482 g,140.2960,136.1299,,14.09.2022 12:10:43
3_TS091412104207,2601405.6473,1144078.3705,1113.6390,111.2097 g,84.4482 g,140.3037,136.1374,,14.09.2022 12:10:42
3_TS091412104136,2601405.6456,1144078.3709,1113.6386,111.2097 g,84.4482 g,140.3019,136.1357,,14.09.2022 12:10:41
3_TS091412104081,2601405.6466,1144078.3708,1113.6387,111.2096 g,84.4482 g,140.3029,136.1367,,14.09.2022 12:10:41
3_TS091412103996,2601405.6481,1144078.3706,1113.6391,111.2096 g,84.4482 g,140.3045,136.1382,,14.09.2022 12:10:40
3_TS091412103916,2601405.6429,1144078.3715,1113.6378,111.2096 g,84.4482 g,140.2990,136.1329,,14.09.2022 12:10:39
3_TS091412103847,2601405.6443,1144078.3712,1113.6382,111.2097 g,84.4482 g,140.3005,136.1343,,14.09.2022 12:10:38
3_TS091412103772,2601405.6447,1144078.3711,1113.6383,111.2097 g,84.4482 g,140.3009,136.1347,,14.09.2022 12:10:38
3_TS091412103741,2601405.6431,1144078.3714,1113.6379,111.2097 g,84.4482 g,140.2993,136.1331,,14.09.2022 12:10:37
3_TS091412103507,2601405.6515,1144078.3699,1113.6401,111.2097 g,84.4481 g,140.3081,136.1417,,14.09.2022 12:10:35
3_TS091412103438,2601405.6457,1144078.3709,1113.6386,111.2097 g,84.4481 g,140.3020,136.1357,,14.09.2022 12:10:34
3_TS091412103376,2601405.6461,1144078.3708,1113.6387,111.2097 g,84.4481 g,140.3024,136.1361,,14.09.2022 12:10:34
3_TS091412103295,2601405.6408,1144078.3718,1113.6374,111.2097 g,84.4481 g,140.2969,136.1308,,14.09.2022 12:10:33
3_TS091412103210,2601405.6401,1144078.3719,1113.6373,111.2097 g,84.4481 g,140.2962,136.1301,,14.09.2022 12:10:32
3_TS091412103136,2601405.6413,1144078.3716,1113.6375,111.2097 g,84.4481 g,140.2974,136.1313,,14.09.2022 12:10:31
3_TS091412103049,2601405.6447,1144078.3711,1113.6385,111.2097 g,84.4481 g,140.3010,136.1347,,14.09.2022 12:10:30
3_TS091412102977,2601405.6531,1144078.3696,1113.6405,111.2097 g,84.4481 g,140.3098,136.1433,,14.09.2022 12:10:30
3_TS091412102912,2601405.6512,1144078.3699,1113.6400,111.2097 g,84.4481 g,140.3078,136.1414,,14.09.2022 12:10:29
3_TS091412102833,2601405.6458,1144078.3709,1113.6387,111.2097 g,84.4481 g,140.3021,136.1358,,14.09.2022 12:10:28
3_TS091412102767,2601405.6418,1144078.3716,1113.6377,111.2097 g,84.4481 g,140.2979,136.1318,,14.09.2022 12:10:28
3_TS091412102693,2601405.6431,1144078.3713,1113.6380,111.2097 g,84.4481 g,140.2993,136.1331,,14.09.2022 12:10:27
3_TS091412102611,2601405.6349,1144078.3728,1113.6359,111.2097 g,84.4481 g,140.2907,136.1248,,14.09.2022 12:10:26
3_TS091412102534,2601405.6370,1144078.3725,1113.6365,111.2097 g,84.4481 g,140.2929,136.1269,,14.09.2022 12:10:25
3_TS091412102463,2601405.6415,1144078.3717,1113.6376,111.2097 g,84.4481 g,140.2976,136.1315,,14.09.2022 12:10:25
3_TS091412102393,2601405.6469,1144078.3707,1113.6389,111.2097 g,84.4482 g,140.3032,136.1369,,14.09.2022 12:10:24
3_TS091412102274,2601405.6432,1144078.3714,1113.6379,111.2097 g,84.4482 g,140.2994,136.1332,,14.09.2022 12:10:23
3_TS091412102198,2601405.6435,1144078.3713,1113.6380,111.2097 g,84.4482 g,140.2997,136.1335,,14.09.2022 12:10:22
3_TS091412102146,2601405.6381,1144078.3723,1113.6366,111.2097 g,84.4482 g,140.2940,136.1280,,14.09.2022 12:10:21
3_TS091412101982,2601405.6391,1144078.3721,1113.6368,111.2097 g,84.4482 g,140.2951,136.1291,,14.09.2022 12:10:20
3_TS091412101910,2601405.6455,1144078.3710,1113.6384,111.2097 g,84.4482 g,140.3018,136.1356,,14.09.2022 12:10:19
3_TS091412101829,2601405.6427,1144078.3715,1113.6377,111.2097 g,84.4482 g,140.2988,136.1327,,14.09.2022 12:10:18
3_TS091412101758,2601405.6453,1144078.3710,1113.6385,111.2096 g,84.4482 g,140.3016,136.1354,,14.09.2022 12:10:18
3_TS091412101672,2601405.6437,1144078.3713,1113.6379,111.2096 g,84.4482 g,140.2998,136.1337,,14.09.2022 12:10:17
3_TS091412101595,2601405.6428,1144078.3715,1113.6378,111.2096 g,84.4482 g,140.2989,136.1328,,14.09.2022 12:10:16
3_TS091412101520,2601405.6345,1144078.3730,1113.6357,111.2096 g,84.4482 g,140.2903,136.1244,,14.09.2022 12:10:15
3_TS091412101443,2601405.6322,1144078.3734,1113.6350,111.2096 g,84.4482 g,140.2878,136.1220,,14.09.2022 12:10:14
3_TS091412101364,2601405.6369,1144078.3725,1113.6363,111.2097 g,84.4482 g,140.2928,136.1269,,14.09.2022 12:10:14
3_TS091412101276,2601405.6428,1144078.3715,1113.6378,111.2096 g,84.4482 g,140.2989,136.1328,,14.09.2022 12:10:13
3_TS091412101208,2601405.6386,1144078.3723,1113.6367,111.2096 g,84.4482 g,140.2945,136.1285,,14.09.2022 12:10:12
3_TS091412101128,2601405.6422,1144078.3718,1113.6371,111.2096 g,84.4484 g,140.2981,136.1321,,14.09.2022 12:10:11
3_TS091412100996,2601405.6366,1144078.3727,1113.6358,111.2096 g,84.4484 g,140.2923,136.1265,,14.09.2022 12:10:10
3_TS091412100915,2601405.6379,1144078.3724,1113.6363,111.2096 g,84.4483 g,140.2937,136.1278,,14.09.2022 12:10:09
3_TS091412100844,2601405.6324,1144078.3734,1113.6350,111.2096 g,84.4483 g,140.2880,136.1222,,14.09.2022 12:10:08
3_TS091412100780,2601405.6362,1144078.3727,1113.6360,111.2096 g,84.4482 g,140.2920,136.1261,,14.09.2022 12:10:08
3_TS091412100687,2601405.6369,1144078.3725,1113.6359,111.2096 g,84.4484 g,140.2927,136.1268,,14.09.2022 12:10:07
3_TS091412100619,2601405.6441,1144078.3712,1113.6374,111.2096 g,84.4485 g,140.3001,136.1341,,14.09.2022 12:10:06
3_TS091412100551,2601405.6449,1144078.3712,1113.6373,111.2096 g,84.4486 g,140.3009,136.1349,,14.09.2022 12:10:06
3_TS091412100538,2601405.6368,1144078.3727,1113.6356,111.2096 g,84.4485 g,140.2925,136.1267,,14.09.2022 12:10:05
3_TS091412100389,2601405.6318,1144078.3736,1113.6348,111.2096 g,84.4483 g,140.2873,136.1216,,14.09.2022 12:10:04
3_TS091412100304,2601405.6340,1144078.3731,1113.6353,111.2096 g,84.4483 g,140.2897,136.1239,,14.09.2022 12:10:03
3_TS091412100231,2601405.6328,1144078.3733,1113.6353,111.2096 g,84.4482 g,140.2885,136.1227,,14.09.2022 12:10:02
3_TS091412100156,2601405.6321,1144078.3734,1113.6351,111.2096 g,84.4482 g,140.2877,136.1219,,14.09.2022 12:10:02
3_TS091412100085,2601405.6380,1144078.3722,1113.6368,111.2097 g,84.4481 g,140.2940,136.1280,,14.09.2022 12:10:01
3_TS091412100014,2601405.6342,1144078.3728,1113.6360,111.2097 g,84.4480 g,140.2900,136.1240,,14.09.2022 12:10:00
3_TS091412095944,2601405.6354,1144078.3726,1113.6361,111.2097 g,84.4481 g,140.2913,136.1253,,14.09.2022 12:09:59
3_TS091412095864,2601405.6352,1144078.3726,1113.6361,111.2097 g,84.4481 g,140.2911,136.1251,,14.09.2022 12:09:59
3_TS091412095742,2601405.6270,1144078.3742,1113.6343,111.2097 g,84.4480 g,140.2825,136.1167,,14.09.2022 12:09:57
3_TS091412095657,2601405.6287,1144078.3739,1113.6347,111.2097 g,84.4480 g,140.2843,136.1185,,14.09.2022 12:09:57
3_TS091412095586,2601405.6344,1144078.3728,1113.6362,111.2097 g,84.4480 g,140.2903,136.1243,,14.09.2022 12:09:56
3_TS091412095513,2601405.6277,1144078.3739,1113.6345,111.2097 g,84.4479 g,140.2833,136.1175,,14.09.2022 12:09:55
3_TS091412095425,2601405.6381,1144078.3720,1113.6372,111.2098 g,84.4479 g,140.2942,136.1281,,14.09.2022 12:09:54
3_TS091412095349,2601405.6344,1144078.3727,1113.6362,111.2098 g,84.4479 g,140.2903,136.1243,,14.09.2022 12:09:53
3_TS091412095277,2601405.6375,1144078.3722,1113.6372,111.2097 g,84.4479 g,140.2936,136.1275,,14.09.2022 12:09:53
3_TS091412095195,2601405.6342,1144078.3728,1113.6362,111.2098 g,84.4479 g,140.2901,136.1241,,14.09.2022 12:09:52
3_TS091412095114,2601405.6318,1144078.3733,1113.6353,111.2097 g,84.4480 g,140.2875,136.1216,,14.09.2022 12:09:51
3_TS091412095037,2601405.6350,1144078.3728,1113.6363,111.2097 g,84.4480 g,140.2909,136.1249,,14.09.2022 12:09:50
3_TS091412094968,2601405.6370,1144078.3724,1113.6368,111.2097 g,84.4480 g,140.2930,136.1269,,14.09.2022 12:09:50
3_TS091412094935,2601405.6347,1144078.3728,1113.6364,111.2097 g,84.4479 g,140.2906,136.1245,,14.09.2022 12:09:49
3_TS091412094795,2601405.6410,1144078.3718,1113.6379,111.2097 g,84.4479 g,140.2972,136.1310,,14.09.2022 12:09:48
3_TS091412094717,2601405.6394,1144078.3720,1113.6377,111.2097 g,84.4479 g,140.2956,136.1294,,14.09.2022 12:09:47
3_TS091412094630,2601405.6269,1144078.3742,1113.6343,111.2097 g,84.4479 g,140.2824,136.1166,,14.09.2022 12:09:46
3_TS091412094551,2601405.6287,1144078.3739,1113.6346,111.2097 g,84.4480 g,140.2843,136.1185,,14.09.2022 12:09:46
3_TS091412094434,2601405.6328,1144078.3731,1113.6354,111.2097 g,84.4481 g,140.2885,136.1226,,14.09.2022 12:09:44
3_TS091412094372,2601405.6344,1144078.3729,1113.6359,111.2097 g,84.4481 g,140.2902,136.1243,,14.09.2022 12:09:44
3_TS091412094291,2601405.6352,1144078.3727,1113.6360,111.2097 g,84.4481 g,140.2910,136.1251,,14.09.2022 12:09:43
3_TS091412094207,2601405.6380,1144078.3722,1113.6366,111.2097 g,84.4482 g,140.2939,136.1279,,14.09.2022 12:09:42
3_TS091412094143,2601405.6407,1144078.3717,1113.6375,111.2097 g,84.4481 g,140.2968,136.1307,,14.09.2022 12:09:41
3_TS091412094054,2601405.6327,1144078.3731,1113.6358,111.2097 g,84.4479 g,140.2885,136.1225,,14.09.2022 12:09:41
3_TS091412093987,2601405.6282,1144078.3740,1113.6339,111.2097 g,84.4483 g,140.2836,136.1180,,14.09.2022 12:09:40
3_TS091412093907,2601405.6260,1144078.3744,1113.6337,111.2097 g,84.4481 g,140.2814,136.1157,,14.09.2022 12:09:39
3_TS091412093831,2601405.6329,1144078.3732,1113.6356,111.2097 g,84.4481 g,140.2886,136.1227,,14.09.2022 12:09:38
3_TS091412093758,2601405.6379,1144078.3723,1113.6369,111.2097 g,84.4480 g,140.2939,136.1278,,14.09.2022 12:09:38
3_TS091412093676,2601405.6382,1144078.3723,1113.6368,111.2097 g,84.4481 g,140.2942,136.1282,,14.09.2022 12:09:37
3_TS091412093609,2601405.6364,1144078.3726,1113.6363,111.2097 g,84.4481 g,140.2923,136.1263,,14.09.2022 12:09:36
3_TS091412093529,2601405.6364,1144078.3725,1113.6363,111.2097 g,84.4481 g,140.2923,136.1263,,14.09.2022 12:09:35
3_TS091412093448,2601405.6327,1144078.3732,1113.6353,111.2097 g,84.4481 g,140.2884,136.1225,,14.09.2022 12:09:34
3_TS091412093365,2601405.6316,1144078.3734,1113.6350,111.2097 g,84.4482 g,140.2872,136.1214,,14.09.2022 12:09:34
3_TS091412093302,2601405.6248,1144078.3746,1113.6333,111.2097 g,84.4482 g,140.2801,136.1145,,14.09.2022 12:09:33
3_TS091412093176,2601405.6288,1144078.3740,1113.6345,111.2096 g,84.4481 g,140.2843,136.1185,,14.09.2022 12:09:32
